,China,Egypt,France,Greece,Iceland,Italy,Japan,Maldives,Palestine,Saudi Arabia,Spain,Switzerland,Turkey,USA
China,2,0,0,0,1,0,0,0,0,0,1,0,0,0
Egypt,0,6,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,9,0,0,0,0,0,0,0,0,1,0,0
Greece,0,0,0,4,0,0,0,1,0,0,0,1,1,0
Iceland,0,0,1,0,2,0,1,0,0,0,0,0,0,0
Italy,0,0,1,1,0,6,0,0,1,1,0,1,0,1
Japan,0,0,1,0,0,0,12,0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0,6,0,0,1,0,0,0
Palestine,0,0,0,0,0,0,0,0,7,1,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,8,2,0,0
Switzerland,0,0,0,0,1,0,1,0,0,0,0,5,2,0
Turkey,0,0,0,0,0,1,1,0,0,0,0,2,2,0
USA,0,1,0,0,0,0,1,1,0,0,0,0,0,3
